Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Mean Atmospheric Pressure,,,,1.09,atmosphere,110417.00000000001,Pa,92.75410209901017,km Mesophere (Mesopause ht),,,,,,,,,,
Comp,O2 %,0.2341,,9.738707967582107,Max Mtn (km),25848.619700000003,Pa,51.53005672167231,km Stratosphere (Stratopause ht),,,,,,,,,,
,N2 %,0.7438,,12905.805205353998,Roche Lmt (km),82128.16460000002,Pa,18.550820419802033,km Tropopause,,,,,,,,,,
,CO2 %,0.000291,,16,hexes/edge,32.131347000000005,Pa,14.428415882068247,km Troposphere,,,,,,,,,,
,Ne %,0.0001,,2562,Total Hexes,11.041700000000002,Pa,3712.304263979878,km Proton Van Allen,,411880856.54248774,belt radiation (rads/Eday),,,,,,,
,Ar %,0.0105,,2203.32,Ocean Hexes,1159.3785000000003,Pa,5568.286867246133,km Interstellar Nuclei Van Allen,,659158127.4331685,belt radiation (rads/Eday),,,,,,,
,Other %,0.011209000000000024,,358.67999999999984,Land Hexes,1237.664153000003,Pa,14848.44373664782,km Electron Van Allen,,18013396301.073124,belt radiation (millirads/Eday),,,,,,,
,cloud cover,0.77,,,,,,173833.18613849586,km Magnetopause,,9822910.83791579,space radiation (millirads/Eday),,,,,,,
Planetary Surface Gravity:,,,,1.05763516416,of Earth's Gravity,,,10.328468399999998,meters per sec per sec,,,,,,,,,,
Planetary Mass:,,,,8361159563440282209878016,kg,,,1.3991230862517205,% of Earth's Mass,,,,,,,,,,
Planetary Surface Area:,,,,670514874.6600001,sqkm,,,1.3123502171298507,% of Earth's Surface Area,,,,,,,,,,
Hydrosphere %,,0.86,,93872082.45240001,sqkm land,576642792.2076001,sqkm water,0.7596899776648528,% of Earth's Land Area,,,,,,,,,,
,,,,150929908.72919998,,,,,,,,,,,,,,,
Escape Velocity:,,,,12.285353423048113,km/sec,Orbital Velocity in Hexes/hour,,53.099359329943546,(1.5 is airliner speed),,,,,,,,,,
500 km Orbit Velocity,,,,8.482325771556477,km/sec,Optimum DV to Orbit,,8.976720795840404,km/sec,,,,,,,,,,
Equatorial Rotational Velocity,,,,0.43905523732558027,km/sec,Add'l Energy Lost for Drag,,1.0439989491810813,km/sec,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Number of Tethers,,0,,53774.864070951124,Geostationary Orbit Height (km),,Delta-v (LO to moon),,,km/sec,,hexes (0.55 kips orbitals) (to and from highest orbit),,,,,,,
Launch Site Lat.,,36,degrees,0.3552031484657202,,,Moon Slingshot (orbitals/slingshot),,,,,,,,,,,,
,,,,117.21215449816935,Orbital Energy Units,1,Moon avg dist from planet (km),,0,,,,,,,,,,
Cost to Orbit in dollars per tonne,,,,7032.729269890161,Lasers,60,Mean Moon Density (g/cm3):,,0,,,,,,,,,,
,,,,10549.093904835241,NERVA,90,Moon Diameter (km):,,0,,,,,,,,,,
,,,,29303.03862454234,O2/BeH2,250,Moon Mass (kg):,,0,,,,,,,,,,
,,,,65052.74574648399,O2/H2,555,Solar Tides (Earth = 1):,,1.2502891595398558,,,,,,,,,,
WAR MODE,,,,CRUISE MODE (with crossed-field accelerator),,,Lunar Tides (meters):,,0,,,,,,,,,,
atomic mass of propellent,,61,"(h =1, water = 6,UTB=558, 10-90 UTB-water = 61)",atomic mass of propellent,,6,"Total Tides, meters (Earth = .39):",,1.2502891595398558,,,,,,,,,,
Max exit vel (km/sec) monatomic hydrogen,,63.686641566745074,,Exit vel (km/sec) from nuclear rocket,,203.06619904073756,TRAVEL FROM EMBARK PT TO PLANET,,,,,,,,,,,,
Wet mass (tonnes),,60000,  ,Wet mass (tonnes),,60000,Embark orbit (AU),,1.52,AU,,HOHMANN,,,CRUISE,,,BRACHISTOCHRONE,
Dry mass (tonnes) (fast),,57690.58175956641,,Dry mass (tonnes) (fast),,59631.83479763312,Transfer Orbit Period,,63.62526503066977,Eweeks,exit vel,63.686641566745074,km/sec,exit vel,406.1323980814751,km/sec,exit vel,63.686641566745074,km/sec
mass propellent expelled (tonnes),,2598.505675961163,tonnes,mass propellent expelled (tonnes),,854.071413526044,length of turn (Eweeks),,2,Eweeks,delta-v,0.55,km/sec,"delta-v (actual, eff = 2.5)",5.8167935379700095,km/sec,"delta-v (actual, eff = 2.5)",2.86858087657695,km/sec (actual)
"Temperature (engine, K)",,10000000,66900,"Temperature (engine, K)",,10000000,Embark eccentricty,,0.093,,1t,0.00859884478554261,prop expended (tonnes),1t,0.014220319835236752,prop expended (tonnes),1t,0.04404274783557901,prop expended (tonnes)
Temperature (radiator K),,2000,,Temperature (radiator K),,2000,Embark semimajor axis (a),,1.5233009102864647,AU,10t,0.08598844785542678,prop expended (tonnes),10t,0.1422031983523666,prop expended (tonnes),10t,0.4404274783557903,prop expended (tonnes)
time of burn (sec),,1009.3721331309262,(1210 ksec/turn),time of burn (sec),,1186063.7925111859,distance (brachistochrone),,208.17060311196678,million km,250t,2.149711196385644,prop expended (tonnes),250t,3.5550799588091615,prop expended (tonnes),250t,11.010686958894745,prop expended (tonnes)
frozen flow efficiency,,0.4,,frozen flow efficiency,,0.4,time (brachistochrone),,13.14057363989251,Eweeks,CT (2500t),21.4971119638565,prop expended (tonnes),CT (2500t),35.55079958809167,prop expended (tonnes),CT (2500t),110.10686958894739,prop expended (tonnes)
mass flow (kg/sec),,2287.975033816426,,mass flow (kg/sec),,0.310409275362319,distance (hohmann),,503.97,million km,FG (5000t),42.994223927713,prop expended (tonnes),FG (5000t),71.10159917618334,prop expended (tonnes),FG (5000t),220.21373917789478,prop expended (tonnes)
Init accel (milligees),,247.81198281008187,,Init accel (milligees),,0.21440010780549584,time (hohmann),,31.812632515334887,Eweeks,CL(7500t),64.49133589156996,prop expended (tonnes),CL(7500t),106.65239876427502,prop expended (tonnes),CL(7500t),330.3206087668426,prop expended (tonnes)
final accel (milligees),,257.7321724813313,,final accel (milligees),,0.21572380779469733,eccentricity of transfer orbit,,-0.4205607476635514,,CH(10000t),85.988447855426,prop expended (tonnes),CH(10000t),142.20319835236668,prop expended (tonnes),CH(10000t),440.42747835578956,prop expended (tonnes)
duty cycle (max =1 ),,0.0008344677026545356,,duty cycle (max =1 ),,0.9805421565072634,velocity (transfer apogee),,41.012783249988786,km/sec,BC (15000t),128.98267178313992,prop expended (tonnes),BC (15000t),213.30479752855004,prop expended (tonnes),BC (15000t),660.6412175336852,prop expended (tonnes)
power gen in nuclear chamber,,14500.000000000004,GW,power gen nuclear thruster (GW),,20.000000000000004,velocity (transfer perigee),,26.193485551912627,km/sec,BB (20000t),171.976895710852,prop expended (tonnes),BB (20000t),284.40639670473337,prop expended (tonnes),BB (20000t),880.8549567115791,prop expended (tonnes)
power radiated (gigawatts),,2900,GW,power radiated thruster (gigawatts),,4,velocity (brachistochrone),,26.193485551912627,km/sec,LV(30000t),257.96534356627984,prop expended (tonnes),LV(30000t),426.6095950571001,prop expended (tonnes),LV(30000t),1321.2824350673704,prop expended (tonnes)
power beam (gigawatts),,4640.000000000002,GW,power beam (gigawatts) unaugmented,,6.400000000000002,velocity (hohmann avg),,26.193485551912627,km/sec,TN(60000t),515.9306871325597,prop expended (tonnes),TN(60000t),853.2191901142002,prop expended (tonnes),TN(60000t),2642.564870134741,prop expended (tonnes)
carnot efficiency,,0.9998,,carnot efficiency,,0.9998,Gravitional Constant,,6.667e-11,m3/kg-sec2,,,,,,,,,
thermal efficiency (chamber),,0.8,,thermal efficiency (chamber),,0.8,Delta-v planet reel in,,2.3016376873601723,km/sec,,,,,,,,,
Delta-v (effective),,2.5,km/sec,Delta-v (effective),,2.5,Delta-v (btwn orb vel),,12.393021159380929,km/sec,,,,,,,,,
"Delta-v (actual, include cruise penalty)",,2.86858087657695,km/sec,"Delta-v (actual, include cruise penalty)",,5.8167935379700095,Slingshot of planet,,4.23054065664,orbitals/slingshot,,,,,,,,,
thrust (kilonewtons),,145713.44589232816,kN,thrust (kilonewtons),,126.06726338963156,Transit angle (degrees),,180,"45= brachistochrone, 180 = hohmann",,,,,,,,,
mass of monatomic hydrogen(kg/part),,1.6733e-27,,mass of monatomic hydrogen(kg/part),,1.6733e-27,Time to Planet,,31.812632515334887,Eweeks,,,,,,,,,
kinetic energy prop (J),,2.07e-16,,kinetic energy prop (J) unaugmented,,2.07e-16,Planet semimajor axis (a),,0.6223281909475357,AU,,,,,,,,,
Addtl Delta-v (cruise penalty),,1.14743235063078,factor,Addtl Delta-v (cruise penalty),,2.326717415188004,Velocity of Planet,,34.34594302266304,km/sec,,,,,,,,,
Addtl Delta-v (brachistochrone transit),,1.2552198501116159,km/sec (= 1.32 earth to mars region),Addtl Delta-v (brachistochrone transit),,1.288836233531279,Velocity of Embark,,21.952921863282114,km/sec,,,,,,,,,
thrust reqd brachistochrone (kN),,61.653321343911934,kN,thrust reqd brachistochrone (kN),,63.727918162237934,Delta-v (embark to marginal capture),,10.091383573334323,km/sec,18.34797013333513,hexes (0.55 kips orbitals) (to and from highest orbit),,,,,,,
distance on 1st turn of thrust (million km),,3.471097336614146,million km,distance on 1st turn of thrust (million km),,1.4824353804702315,Rabbithole avg dist from star,,0.3642845228809289,AU,,,,,,,,,
velocity increment (km/sec),,2.500382693849993,,velocity increment (km/sec),,2.499756572673979,Rabbithole orbital vel,,44.89157290326985,km/sec,,,,,,,,,
,,,,efficiency of electric accelerator,,0.8,Transit rabbit to planet high orbit,,8.384962623716877,Eweeks (hohmann orbitals),,,,,,,,,
,,,,Total augmented exit velocity (km/sec),,406.1323980814751,Delta-v (rabbit to marginal capture),,8.243992276013108,km/sec,14.989076865478378,hexes (0.55 kips orbitals) (to and from highest orbit),,,,,,,
,,,,Power added to beam (GW),,19.200000000000006,,,,,,,,,,,,,
,,,,Power nuclear elect gen (GW),,24.000000000000007,,,,,,,,,,,,,
,,,,Power radiated (accelerator+thruster) (GW),,8.8,GW,,,,,,,,,,,,
,,,,Total power generated (GW),,44.000000000000014,GW,,,,,,,,,,,,
