Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,cloud cover,0.47,,,,,,11506.433137922495,km Magnetopause,,491914.8471045852,space radiation (millirads/Eday),,,,,,,
Planetary Surface Gravity:,,,,1.17144933048,of Earth's Gravity,,,11.43993486796875,meters per sec per sec,,,,,,,,,,
Planetary Mass:,,,,7977868861522002703286272,kg,,,1.3349847492506697,% of Earth's Mass,,,,,,,,,,
Planetary Surface Area:,,,,577618602.66,sqkm,,,1.1305310698789082,% of Earth's Surface Area,,,,,,,,,,
Hydrosphere %,,0.35,,375452091.729,sqkm land,202166510.93099996,sqkm water,3.038466642352983,% of Earth's Land Area,,,,,,,,,,
,,,,155159836.61426017,,,,,,,,,,,,,,,
Escape Velocity:,,,,12.456317136869155,km/sec,Orbital Velocity in Hexes/hour,,53.70530991114124,(1.5 is airliner speed),,,,,,,,,,
500 km Orbit Velocity,,,,8.579122989000199,km/sec,Optimum DV to Orbit,,9.021884101475928,km/sec,,,,,,,,,,
Equatorial Rotational Velocity,,,,1.423777363918869,km/sec,Add'l Energy Lost for Drag,,4.669600176183969,km/sec,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Number of Tethers,,0,,16198.193781102511,Geostationary Orbit Height (km),,Delta-v (LO to moon),,1.138096559607958,km/sec,2.0692664720144687,hexes (0.55 kips orbitals) (to and from highest orbit),,,,,,,
Launch Site Lat.,,12,degrees,1.3926644124963443,,,Moon Slingshot (orbitals/slingshot),,1.3882313672816324,,,,,,,,,,
,,,,194.40759396951552,Orbital Energy Units,1,Moon avg dist from planet (km),,410638,,,,,,,,,,
Cost to Orbit in dollars per tonne,,,,11664.455638170932,Lasers,60,Mean Moon Density (g/cm3):,,5.4,,,,,,,,,,
,,,,17496.683457256397,NERVA,90,Moon Diameter (km):,,4513,,,,,,,,,,
,,,,48601.89849237888,O2/BeH2,250,Moon Mass (kg):,,259757537227722002006016,,,,,,,,,,
,,,,107896.21465308112,O2/H2,555,Solar Tides (meters):,,0.004576981627852091,,,,,,,,,,
WAR MODE,,,,CRUISE MODE (with crossed-field accelerator),,,Lunar Tides (meters):,,0.8267988749969497,,,,,,,,,,
atomic mass of propellent,,61,"(h =1, water = 6,UTB=558, 10-90 UTB-water = 61)",atomic mass of propellent,,6,"Total Tides, meters (Earth = .39):",,0.8313758566248018,,,,,,,,,,
Max exit vel (km/sec) monatomic hydrogen,,63.686641566745074,,Exit vel (km/sec) from nuclear rocket,,203.06619904073756,TRAVEL FROM EMBARK PT TO PLANET,,,,,,,,,,,,
Wet mass (tonnes),,60000,  ,Wet mass (tonnes),,60000,Embark orbit (AU),,1.52,AU,,HOHMANN,,,CRUISE,,,BRACHISTOCHRONE,
Dry mass (tonnes) (fast),,57690.58175956641,,Dry mass (tonnes) (fast),,59631.83479763312,Transfer Orbit Period,,178.65515092687468,Eweeks,exit vel,63.686641566745074,km/sec,exit vel,406.1323980814751,km/sec,exit vel,63.686641566745074,km/sec
mass propellent expelled (tonnes),,2598.505675961163,tonnes,mass propellent expelled (tonnes),,854.071413526044,length of turn (Eweeks),,2,Eweeks,delta-v,0.55,km/sec,"delta-v (actual, eff = 2.5)",5.8167935379700095,km/sec,"delta-v (actual, eff = 2.5)",2.86858087657695,km/sec (actual)
"Temperature (engine, K)",,10000000,66900,"Temperature (engine, K)",,10000000,Embark eccentricty,,0.093,,1t,0.00859884478554261,prop expended (tonnes),1t,0.014220319835236752,prop expended (tonnes),1t,0.04404274783557901,prop expended (tonnes)
Temperature (radiator K),,2000,,Temperature (radiator K),,2000,Embark semimajor axis (a),,1.5233009102864647,AU,10t,0.08598844785542678,prop expended (tonnes),10t,0.1422031983523666,prop expended (tonnes),10t,0.4404274783557903,prop expended (tonnes)
time of burn (sec),,1009.3721331309262,(1210 ksec/turn),time of burn (sec),,1186063.7925111859,distance (brachistochrone),,410.42203888192944,million km,250t,2.149711196385644,prop expended (tonnes),250t,3.5550799588091615,prop expended (tonnes),250t,11.010686958894745,prop expended (tonnes)
frozen flow efficiency,,0.4,,frozen flow efficiency,,0.4,time (brachistochrone),,33.47899061715715,Eweeks,CT (2500t),21.4971119638565,prop expended (tonnes),CT (2500t),35.55079958809167,prop expended (tonnes),CT (2500t),110.10686958894739,prop expended (tonnes)
mass flow (kg/sec),,2287.975033816426,,mass flow (kg/sec),,0.310409275362319,distance (hohmann),,1095.075,million km,FG (5000t),42.994223927713,prop expended (tonnes),FG (5000t),71.10159917618334,prop expended (tonnes),FG (5000t),220.21373917789478,prop expended (tonnes)
Init accel (milligees),,247.81198281008187,,Init accel (milligees),,0.21440010780549584,time (hohmann),,89.32757546343734,Eweeks,CL(7500t),64.49133589156996,prop expended (tonnes),CL(7500t),106.65239876427502,prop expended (tonnes),CL(7500t),330.3206087668426,prop expended (tonnes)
final accel (milligees),,257.7321724813313,,final accel (milligees),,0.21572380779469733,eccentricity of transfer orbit,,0.3462365591397849,,CH(10000t),85.988447855426,prop expended (tonnes),CH(10000t),142.20319835236668,prop expended (tonnes),CH(10000t),440.42747835578956,prop expended (tonnes)
duty cycle (max =1 ),,0.0008344677026545356,,duty cycle (max =1 ),,0.9805421565072634,velocity (transfer apogee),,14.125250569765562,km/sec,BC (15000t),128.98267178313992,prop expended (tonnes),BC (15000t),213.30479752855004,prop expended (tonnes),BC (15000t),660.6412175336852,prop expended (tonnes)
power gen in nuclear chamber,,14500.000000000004,GW,power gen nuclear thruster (GW),,20.000000000000004,velocity (transfer perigee),,20.269663332500205,km/sec,BB (20000t),171.976895710852,prop expended (tonnes),BB (20000t),284.40639670473337,prop expended (tonnes),BB (20000t),880.8549567115791,prop expended (tonnes)
power radiated (gigawatts),,2900,GW,power radiated thruster (gigawatts),,4,velocity (brachistochrone),,20.269663332500205,km/sec,LV(30000t),257.96534356627984,prop expended (tonnes),LV(30000t),426.6095950571001,prop expended (tonnes),LV(30000t),1321.2824350673704,prop expended (tonnes)
power beam (gigawatts),,4640.000000000002,GW,power beam (gigawatts) unaugmented,,6.400000000000002,velocity (hohmann avg),,20.269663332500205,km/sec,TN(60000t),515.9306871325597,prop expended (tonnes),TN(60000t),853.2191901142002,prop expended (tonnes),TN(60000t),2642.564870134741,prop expended (tonnes)
carnot efficiency,,0.9998,,carnot efficiency,,0.9998,Gravitional Constant,,6.667e-11,m3/kg-sec2,,,,,,,,,
thermal efficiency (chamber),,0.8,,thermal efficiency (chamber),,0.8,Delta-v planet reel in,,1.907370289482883,km/sec,,,,,,,,,
Delta-v (effective),,2.5,km/sec,Delta-v (effective),,2.5,Delta-v (btwn orb vel),,7.576706041052404,km/sec,,,,,,,,,
"Delta-v (actual, include cruise penalty)",,2.86858087657695,km/sec,"Delta-v (actual, include cruise penalty)",,5.8167935379700095,Slingshot of planet,,4.68579732192,orbitals/slingshot,,,,,,,,,
thrust (kilonewtons),,145713.44589232816,kN,thrust (kilonewtons),,126.06726338963156,Transit angle (degrees),,180,"45= brachistochrone, 180 = hohmann",,,,,,,,,
mass of monatomic hydrogen(kg/part),,1.6733e-27,,mass of monatomic hydrogen(kg/part),,1.6733e-27,Time to Planet,,89.32757546343734,Eweeks,,,,,,,,,
kinetic energy prop (J),,2.07e-16,,kinetic energy prop (J) unaugmented,,2.07e-16,Planet semimajor axis (a),,3.131664746263131,AU,,,,,,,,,
Addtl Delta-v (cruise penalty),,1.14743235063078,factor,Addtl Delta-v (cruise penalty),,2.326717415188004,Velocity of Planet,,17.46507207728319,km/sec,,,,,,,,,
Addtl Delta-v (brachistochrone transit),,0.34346688754998234,km/sec (= 1.32 earth to mars region),Addtl Delta-v (brachistochrone transit),,0.3543777603677195,Velocity of Embark,,25.041778118335593,km/sec,,,,,,,,,
thrust reqd brachistochrone (kN),,16.99118942426413,kN,thrust reqd brachistochrone (kN),,17.562932628860093,Delta-v (embark to marginal capture),,5.669335808487447,km/sec,10.307883288158994,hexes (0.55 kips orbitals) (to and from highest orbit),,,,,,,
distance on 1st turn of thrust (million km),,3.471097336614146,million km,distance on 1st turn of thrust (million km),,1.4824353804702315,Rabbithole avg dist from star,,0.5735176503596922,AU,,,,,,,,,
velocity increment (km/sec),,2.500382693849993,,velocity increment (km/sec),,2.499756572673979,Rabbithole orbital vel,,40.81169383124154,km/sec,,,,,,,,,
,,,,efficiency of electric accelerator,,0.8,Transit rabbit to planet high orbit,,18.673582253198497,Eweeks (hohmann orbitals),,,,,,,,,
,,,,Total augmented exit velocity (km/sec),,406.1323980814751,Delta-v (rabbit to marginal capture),,21.439251679717216,km/sec,38.980457599485845,hexes (0.55 kips orbitals) (to and from highest orbit),,,,,,,
,,,,Power added to beam (GW),,19.200000000000006,,,,,,,,,,,,,
,,,,Power nuclear elect gen (GW),,24.000000000000007,,,,,,,,,,,,,
,,,,Power radiated (accelerator+thruster) (GW),,8.8,GW,,,,,,,,,,,,
,,,,Total power generated (GW),,44.000000000000014,GW,,,,,,,,,,,,
